"name","address","lat","lng"
"Temple Baptist Church","745 N Perris Blvd, Perris, CA 92571, USA",33.7929604,-117.2256436
"St James the Less Catholic Church","269 W 3rd St, Perris, CA 92570, USA",33.783775,-117.2313607
"First Congregational Church","100 N A St, Perris, CA 92570, USA",33.787201,-117.235916
"The Sanctuary Church","3865 N Perris Blvd, Perris, CA 92571, USA",33.8416148,-117.2252468
"Perris Spanish Seventh-day Adventist Church","22905 Alviso Dr, Perris, CA 92570, USA",33.8404868,-117.262828
"Lighthouse Community Church","23100 Betty Rd, Perris, CA 92570, USA",33.7617896,-117.2567193
"Calvary Chapel","3060 Barrett Ave, Perris, CA 92571, USA",33.8274371,-117.2308015
"Apostolic Church","2003 Sunnysands Dr, Perris, CA 92570, USA",33.76448,-117.247937
"Seventh-Day Adventist Church","380 W 3rd St, Perris, CA 92570, USA",33.7837172,-117.2342048
"Bethel Ame Church","Perris, CA 92570, USA",33.765288,-117.258097
"New Creation Church","57 Business Park Dr, Perris, CA 92571, USA",33.8309052,-117.224652
"Misión Santa María de Guadalupe","27440 Sunset Ave, Perris, CA 92571, USA",33.8056365,-117.1831127
"The Church of Jesus Christ of Latter-day Saints","225 Mildred St, Perris, CA 92571, USA",33.795411,-117.221114
"First Baptist Church of Perris","311 E 5th St, Perris, CA 92570, USA",33.7813208,-117.2235881
"Greater New Hope Missionary","177 E 6th St, Perris, CA 92570, USA",33.78002,-117.226668
"Perris Fifth Street Seventh-day Adventist Church","300 E 5th St, Perris, CA 92570, USA",33.7815269,-117.2236319
"Good Hope Missionary Baptist","22876 Mountain Ave, Perris, CA 92570, USA",33.765003,-117.260215
"Eagles Wings Christian Church","1201 N A St, Perris, CA 92570, USA",33.7976266,-117.2340055
"Eternal Life Apostolic Church A.O.H","424 S D St, Perris, CA 92571, USA",33.7817631,-117.2288042
"Templo Del Evangelio","251 N Perris Blvd, Perris, CA 92571, USA",33.7897215,-117.2257679
"New Creation Church","57 Business Park Dr, Perris, CA 92571, USA",33.8309093,-117.2246487
"Iglesia De Cristo","277 E 5th St, Perris, CA 92570, USA",33.7810569,-117.224252
"Southland Community Church","190 E 5th St, Perris, CA 92570, USA",33.781618,-117.22643
"Sovereign Grace Community Church","21580 Oakwood St, Perris, CA 92570, USA",33.8338954,-117.2869948
