"name","address","lat","lng"
"First United Methodist Church of San Diego","2111 Camino del Rio S, San Diego, CA 92108, USA",32.7670415,-117.1425142
"First Presbyterian Church of San Diego","320 Date St, San Diego, CA 92101, USA",32.7233606,-117.1614469
"C3 Church San Diego","7620 Balboa Ave, San Diego, CA 92111, USA",32.82232,-117.159287
"The Rock Church","2277 Rosecrans St, San Diego, CA 92106, USA",32.7356775,-117.2186883
"City Church San Diego","10802 Willow Ct, San Diego, CA 92127, USA",33.0158021,-117.1019778
"Cornerstone Church of San Diego - South Campus","1920 Sweetwater Rd, National City, CA 91950, USA",32.6592964,-117.0781311
"Grace Church San Diego","2716 Madison Ave, San Diego, CA 92116, USA",32.7612303,-117.1348856
"Gathering Place Church in San Diego, CA","9550 Carmel Mountain Rd, San Diego, CA 92129, USA",32.9672159,-117.1209337
"New City Church","3366 Park Blvd, San Diego, CA 92103, USA",32.7403541,-117.1480406
"Church in San Diego","6640 Flanders Dr, San Diego, CA 92121, USA",32.9064243,-117.175988
"Canyon Ridge Baptist Church of San Diego","6866 Linda Vista Rd, San Diego, CA 92111, USA",32.7822551,-117.1729255
"The Anchor San Diego","1765 Pentecost Way, San Diego, CA 92105, USA",32.724338,-117.0817067
"Iranian Christian Church of San Diego","6964 Mission Gorge Rd, San Diego, CA 92120, USA",32.7999135,-117.0919399
"Christ Church of San Diego","1355 Fern St, San Diego, CA 92102, USA",32.720021,-117.129206
"Flood Church - San Diego Campus","1954 Komet Way, San Diego, CA 92111, USA",32.8005256,-117.1595431
"Barabbas Road Church San Diego","4833 Doliva Dr, San Diego, CA 92117, USA",32.8326135,-117.1745753
"San Diego California Temple","7474 Charmant Dr, San Diego, CA 92122, USA",32.8664058,-117.2286807
"Saddleback Church San Diego","Canyon Crest Academy, 5951 Village Center Loop Rd, San Diego, CA 92130, USA",32.9588146,-117.1895206
"St Spyridon Greek Orthodox Church","3655 Park Blvd, San Diego, CA 92103, USA",32.7445213,-117.1472799
"All Saints Episcopal Church","625 Pennsylvania Ave, San Diego, CA 92103, USA",32.74497,-117.159305
"Chinese Evangelical Church of San Diego","2585 Judson St, San Diego, CA 92111, USA",32.7900665,-117.1607424
"Newbreak Church Office","10791 Tierrasanta Blvd, San Diego, CA 92124, USA",32.821269,-117.0994993
"Canvas Church","10733 Westview Pkwy, San Diego, CA 92126, USA",32.915209,-117.117578
"Church of Scientology of San Diego","1330 Fourth Ave, San Diego, CA 92101, USA",32.7194521,-117.1612836
"First Unitarian Universalist Church of San Diego","4190 Front St, San Diego, CA 92103, USA",32.7534056,-117.1663176
"Servant Church of San Diego","631 S Evans St, San Diego, CA 92113, USA",32.7005279,-117.1383425
