"name","address","lat","lng"
"Little Kingdom Child Care","520 Balour Dr, Encinitas, CA 92024, USA",33.0446147,-117.2691626
"The Academy at Bright Horizons","2232 Encinitas Blvd, Encinitas, CA 92024, USA",33.037997,-117.239555
"Bright Horizons at Encinitas","1430 Amargosa Dr, Encinitas, CA 92024, USA",33.0666396,-117.2547626
"Daddy/Daughter Infant Daycare","306 Oakbranch Dr, Encinitas, CA 92024, USA",33.041263,-117.256323
"A Children's Garden","1421 Burgundy Rd, Encinitas, CA 92024, USA",33.074877,-117.289285
"Callahan Family Childcare","1912 Circle Park Ln, Encinitas, CA 92024, USA",33.0555678,-117.2466692
"Encinitas Child Devmnt Center","121 N El Camino Real, Encinitas, CA 92024, USA",33.0481083,-117.2561066
"LePort Montessori Encinitas","520 Balour Dr, Encinitas, CA 92024, USA",33.044578,-117.2691138
"Creating Gifted Children","1404 Avenida De Las Adelsas, Encinitas, CA 92024, USA",33.0366881,-117.2577241
"Tracy's Tiny Tots","1134 Arcadia Rd, Encinitas, CA 92024, USA",33.037412,-117.278602
"Central Montessori School","286 N El Camino Real, Encinitas, CA 92024, USA",33.053729,-117.262918
"Encinitas Shining Star Preschool & Infant Center for the arts.","511 Encinitas Blvd # 114, Encinitas, CA 92024, USA",33.045958,-117.281104
"Encinitas Country Day School","2155 Encinitas Blvd, Encinitas, CA 92024, USA",33.0378704,-117.2409885
"Bethlehem Lutheran Church","925 Balour Dr, Encinitas, CA 92024, USA",33.0403694,-117.2678321
"Olivenhain Country Preschool","448 Rancho Santa Fe Rd, Encinitas, CA 92024, USA",33.0451565,-117.2351864
"Angel Academy Montessori Preschool and Day Care","7733 Lucia Ct, Carlsbad, CA 92009, USA",33.083241,-117.255823
"Learning Tree Preschool","240 Birmingham Dr, Cardiff, CA 92007, USA",33.02417,-117.281436
"A Children's Garden","2241 Whisper Wind Ln, Encinitas, CA 92024, USA",33.0457796,-117.2357588
"Montessori Children's House","220 Calle De Madera, Encinitas, CA 92024, USA",33.0627775,-117.2988233
"Children's Atelier Center","1356, 1508 Windsor Rd, Cardiff, CA 92007, United States",33.0314217,-117.2740524
"Kids By the Sea","920 Balour Dr, Encinitas, CA 92024, USA",33.040439,-117.268697
"Leucadia Children's School Inc.","1337 N Vulcan Ave, Encinitas, CA 92024, USA",33.071449,-117.30355
"Cardiff Christian Daycare","1430 Big Canyon Terrace, Cardiff, CA 92007, USA",33.031471,-117.268733
"Shantivanam Children's Community","229 Cerro St, Encinitas, CA 92024, USA",33.0391911,-117.2532157
"Creative Expressions Preschool Encinitas","734 Edelweiss Ln, Encinitas, CA 92024, USA",33.0503198,-117.2302926
"Aloha Family Daycare","7217 Manzanita St, Carlsbad, CA 92011, USA",33.09633,-117.269302
"Loving Nannies-Premier Nanny and Babysitter Agency in San Diego","1639 Haydn Dr, Cardiff, CA 92007, USA",33.0285568,-117.2858175
"Bethlehem Lutheran Preschool","925 Balour Dr, Encinitas, CA 92024, USA",33.0403694,-117.2678321
"Living Roots Preschool","203 Fraxinella St, Encinitas, CA 92024, USA",33.050828,-117.272842
"Magdalena Ecke Family YMCA","200 Saxony Rd, Encinitas, CA 92024, USA",33.0520859,-117.2862749
"St Andrew's Preschool","890 Balour Dr, Encinitas, CA 92024, USA",33.0413449,-117.2687376
"Fara's Preschool/Home Daycare","6750 Caurina Ct, Carlsbad, CA 92011, USA",33.1059022,-117.2861193
"Oasis Community School","216 La Mesa Ave, Encinitas, CA 92024, USA",33.053058,-117.298934
"St. Mark Lutheran Preschool","556 S El Camino Real, Encinitas, CA 92024, USA",33.0364603,-117.2587544
