"name","address","lat","lng"
"Small Wonder Family Child Care","20064 Fallen Leaf Dr, Perris, CA 92570, USA",33.8292395,-117.2582709
"Perris KinderCare","610 E Nuevo Rd, Perris, CA 92571, USA",33.801566,-117.2125
"Park Towne Child Care","511 Dale St, Perris, CA 92571, USA",33.7899178,-117.2147538
"The Learning Clubhouse","3016 Wollyleaf Ct, Perris, CA 92571, USA",33.8274495,-117.1933599
"Tiffany's Tinker Tots Day Care","1051 Harrier St, Perris, CA 92571, USA",33.8296883,-117.2027378
"Green Tree Learning Childcare","383 Monument Pkwy, Perris, CA 92570, USA",33.737915,-117.239403
"USA Kids","25953 Calle Ensenada, Moreno Valley, CA 92551, USA",33.863874,-117.211097
"Kidz First Childcare","Solandra St, Perris, CA 92571, USA",33.8394536,-117.2099939
"BIZZY-LITTLE-BEES DAYCARE","549 Redding Way, Perris, CA 92570, USA",33.768216,-117.235577
"Romero Family Christian Child Care","Addison Way, Perris, CA 92571, USA",33.802187,-117.197685
"Williams Itty Bitty Daycare","23327 Mountain Ave, Perris, CA 92570, USA",33.7642979,-117.252634
"Renu Hope Foundation","1675 N Perris Blvd # H, Perris, CA 92571, USA",33.8030719,-117.2256186
"Frutos Family Child Care","2084 Cottage Ct, Perris, CA 92571, USA",33.8310505,-117.1815097
"Childtime of Moreno Valley","14700 Perris Blvd, Moreno Valley, CA 92553, USA",33.907,-117.226
"Harper Family Child Care","24935 Theda St, Perris, CA 92570, USA",33.75824900000001,-117.275787
"Tiny Tigers Child Care","3066 Bradley Rd, Perris, CA 92571, USA",33.828832,-117.191565
"Bright beginnings daycare","2872 Magellan Ln, Perris, CA 92571, USA",33.8251829,-117.2237959
"Hickenbottom Family Day Care","1258 Indigo Way, Perris, CA 92571, USA",33.833152,-117.1982272
"Renu Hope Foundation","175 E Nuevo Rd, Perris, CA 92571, USA",33.800754,-117.2236441
"Moreno Valley KinderCare","11961 Perris Blvd, Moreno Valley, CA 92557, USA",33.947502,-117.22711
"Montes Family Child Care","2145 Cottage Ct, Perris, CA 92571, USA",33.8307172,-117.1805101
"Moses Family Daycare","17087 Cleveland Bay Way, Moreno Valley, CA 92555, USA",33.874117,-117.208063
"Perris Early Head Start","148 Avocado Ave, Perris, CA 92571, USA",33.810693,-117.222571
"Temple Christian School","745 N Perris Blvd, Perris, CA 92571, USA",33.7929604,-117.2256436
"Creative Minds Daycare","3066 Snowdrop Ct, Perris, CA 92571, USA",33.829152,-117.1843774
"Pixie Dust Child Care","16764 Colt Way, Moreno Valley, CA 92555, USA",33.877003,-117.2076452
"Rob Reiner Children & Families Center","2221 S A St, Perris, CA 92570, USA",33.7587655,-117.2344049
"Look at Me Learn Child Care","23380 Canyon Lake Dr N, Canyon Lake, CA 92587, USA",33.684408,-117.251569
"Bright Minds Childcare Day Care Montessori","24802 Sunset Vista Ave, Menifee, CA 92584, USA",33.696391,-117.226763
"Learning Tree Preschool","26704 Murrieta Rd, Sun City, CA 92585, USA",33.7324338,-117.2057493
"Perris Elementary School","500 S A St, Perris, CA 92570, USA",33.7807172,-117.2357818
"Bramwell Day Care","24317 Dyna Pl, Moreno Valley, CA 92551, USA",33.89679,-117.238109
"Ortega Family child care home","15490 Herne Ct, Moreno Valley, CA 92551, USA",33.8974199,-117.23401
"Angel Wings Child Care","Moreno Valley, CA 92555, USA",33.8958623,-117.208785
"State Preschool Program","2221 S A St, Perris, CA 92570, USA",33.7588409,-117.2347631
"Little Bugz Child Care","29912 Lamprey St, Sun City, CA 92586, USA",33.686424,-117.1936015
"Tot Spot","25808 Boulder Rock Pl, Sun City, CA 92585, USA",33.7265432,-117.2097815
"Torres Family Daycare","28687 Acanthus Ct, Menifee, CA 92584, USA",33.7042926,-117.1461676
"Hunny Bees Family Child Care","19933 San Luis Rey Ln, Riverside, CA 92508, USA",33.8832427,-117.3151241
"Ms. Honey 24Hr Childcare 7 Days a Week","24154 Stonebridge Ct, Moreno Valley, CA 92551, USA",33.8979885,-117.241125
"Jan Peterson Child Development Center","26895 Brodiaea Ave, Moreno Valley, CA 92555, USA",33.9130715,-117.1929768
"Tot Spot Childcare","25687 Turfwood St, Sun City, CA 92585, USA",33.7268753,-117.2118717
"Child Development Center","25625 Briggs Rd, Sun City, CA 92585, USA",33.7480334,-117.1371275
"Krystal's Family Daycare","Bradley Rd, Menifee, CA 92584, USA",33.679597,-117.188642
"Misfit Manor Daycare","30524 Wyndham Ct, Menifee, CA 92584, USA",33.677476,-117.191471
"Happy Bees Day Care Academy","28658 Woodchester Way, Menifee, CA 92584, USA",33.704622,-117.172985
"Rivera Family Child Care","25553 El Greco Dr, Moreno Valley, CA 92553, USA",33.904544,-117.217884
"Bizzy Bee Childcare","3541 Whieldon Dr, Perris, CA 92571, USA",33.83438,-117.183701
"Child Development Center Inc","29282 Menifee Rd, Menifee, CA 92584, USA",33.6975758,-117.1533418
"Monkey House Daycare","53220 Ambridge St, Lake Elsinore, CA 92532, USA",33.7112624,-117.3028114
"Childology Family Child Care","4628, 15517 Patricia St, Moreno Valley, CA 92551, United States",33.8953456,-117.2216161
"El Potrero Preschool","16820 Via Pamplona, Moreno Valley, CA 92551, USA",33.8758907,-117.2150898
"Alex's ABC Family CCS","3074 Jacinta Dr, Perris, CA 92571, USA",33.8292829,-117.185386
"HAPPY HEARTS FAMILY DAY CARE.","3100 Goshawk Lane, Perris, CA 92571, USA",33.827561,-117.20626
"Shepherd-Valley Preschool","11650 Perris Blvd, Moreno Valley, CA 92557, USA",33.9516599,-117.225269
