"name","address","lat","lng"
"ELCA Preschools | San Diego Mission Valley","4050 Taylor St, San Diego, CA 92110, USA",32.757285,-117.199024
"Ridge City Preschool & Daycare","6866 Linda Vista Rd, San Diego, CA 92111, USA",32.7823509,-117.1729981
"Bella Daycare","2004 Felspar St, San Diego, CA 92109, USA",32.801028,-117.231771
"Bright Horizons at Tierrasanta","6090 Santo Rd, San Diego, CA 92124, USA",32.8407095,-117.1008401
"WEE ARE WISE DAYCARE","3863 Hatton St, San Diego, CA 92111, USA",32.8140209,-117.165237
"Honey Bear Preschool & Child Care Center","4426 Mentone St, San Diego, CA 92107, USA",32.751436,-117.232554
"Together We Grow","5055 Viewridge Ave, San Diego, CA 92123, USA",32.8284799,-117.1211322
"ELCA Preschools | San Diego Mira Mesa","9585 Candida St, San Diego, CA 92126, USA",32.8967931,-117.1212662
"Childtime of San Diego","8111 New Salem St, San Diego, CA 92126, USA",32.9151548,-117.1491317
"Little Sprouts Academy","3844 Adams Ave, San Diego, CA 92116, USA",32.763528,-117.111203
"Natura Early Child Development","4596 Louisiana St, San Diego, CA 92116, USA",32.760759,-117.140508
"YMCA Childcare Resource Service","3333 Camino del Rio S, San Diego, CA 92108, USA",32.7757154,-117.1214012
"Kids on Broadway","475 W Broadway, San Diego, CA 92101, USA",32.715401,-117.167047
"Little Sprouts Academy","6690 Mission Gorge Rd, San Diego, CA 92120, USA",32.7942102,-117.0976081
"Safe & Sound Family Daycare","4195 Kansas St, San Diego, CA 92104, USA",32.7539224,-117.1312091
"Child Care Services Department","3180 University Ave # 317, San Diego, CA 92104, USA",32.748803,-117.125566
"The Vine Infant Center","6705 Linda Vista Rd, San Diego, CA 92111, USA",32.7754208,-117.1733764
"Martha's Daycare","12000 Cijon St, San Diego, CA 92129, USA",32.94861,-117.109809
"Tanita Family Day Care","2507 Chatsworth Blvd, San Diego, CA 92106, USA",32.741981,-117.223306
"The Vine Learning Center","2130 Ulric St, San Diego, CA 92111, USA",32.7827234,-117.1704487
"Mission Nazarene Child Care Center","4752 Mission Gorge Pl, San Diego, CA 92120, USA",32.7819664,-117.0918584
"Bright Horizons Family Center at Del Mar","3720 Arroyo Sorrento Rd, San Diego, CA 92130, USA",32.9262014,-117.2351387
"Kids Academy","4555 Mt Abernathy Ave, San Diego, CA 92117, USA",32.826406,-117.172506
"Primary Daycare","1623 32nd St, San Diego, CA 92102, USA",32.72285,-117.125173
"Lyrics Day Care","1787 Pentuckett Ave, San Diego, CA 92104, USA",32.724237,-117.1169706
"BeepBop Daycare","15835 Windrose Ct, San Diego, CA 92127, USA",33.0049549,-117.0885891
"Sandra's daycare","7278 Werner St, San Diego, CA 92122, USA",32.8592651,-117.1888088
"University City KinderCare","6150 Agee St, San Diego, CA 92122, USA",32.852245,-117.201807
"Ranne's Daycare","11141 Corte Mar De Cristal, San Diego, CA 92130, USA",32.918841,-117.224833
"Gluck Child Care Center","10660 John J Hopkins Dr, San Diego, CA 92121, USA",32.8955655,-117.240378
"Lopez Family Day Care","4054 Marcwade Dr, San Diego, CA 92154, USA",32.573335,-117.047143
"La Petite Academy of San Diego","12668 Sabre Springs Pkwy, San Diego, CA 92128, USA",32.949491,-117.0971349
"La Petite Academy of San Diego","10050 Carmel Mountain Rd, San Diego, CA 92129, USA",32.9613354,-117.1132343
"Wee Care Preschool","3580 Mt Acadia Blvd, San Diego, CA 92111, USA",32.8074117,-117.1837126
"Frost Daycare","7215 Whipple Ave, San Diego, CA 92122, USA",32.8584029,-117.1884872
"Home Child Care","14504 Penasquitos Dr, San Diego, CA 92129, USA",32.978981,-117.092858
"Del Mar Highlands KinderCare","12863 El Camino Real, San Diego, CA 92130, USA",32.9496271,-117.2335991
"Lu's Daycare Home in Serra Mesa","2066 Finch Ln, San Diego, CA 92123, USA",32.782064,-117.158595
"Wildflowers Home Daycare","4617 Shoshoni Ave, San Diego, CA 92117, USA",32.830103,-117.1929153
"Orr Family Daycare & Preschool","4940 Gallatin Way, San Diego, CA 92117, USA",32.836783,-117.220726
"A Sunshine Day Care","5052 Genesee Ave, San Diego, CA 92117, USA",32.8372672,-117.1960112
"Martinez Family Day Care","3006 Plato Dr, San Diego, CA 92139, USA",32.669086,-117.048417
"Neighborhood House Association","2717 University Ave, San Diego, CA 92104, USA",32.7481363,-117.1343664
"Neighborhood House Association","4111 Home Ave # F, San Diego, CA 92105, USA",32.723129,-117.10681
"Eco Baby Childcare","4626 Shoshoni Ave, San Diego, CA 92117, USA",32.829816,-117.193495
"New Life Head Start","766 28th St, San Diego, CA 92102, USA",32.7138462,-117.1345572
"Baldwin Academy","1752 Hornblend St, San Diego, CA 92109, USA",32.7997396,-117.2375415
"Scripps Exploring Academy","9855 Erma Rd #128, San Diego, CA 92131, USA",32.918763,-117.114268
"Grow Smart Children's Academy","6271 Jackson Dr, San Diego, CA 92119, USA",32.79287,-117.017983
"Little Bear Home Day Care","16211 Via Embeleso, San Diego, CA 92128, USA",33.006753,-117.073035
"FAA Merry-Go-Around Center","9175 Kearny Villa Rd, San Diego, CA 92126, USA",32.8914731,-117.116079
"Children of the Rainbow","4890 Logan Ave, San Diego, CA 92113, USA",32.697112,-117.089604
"Neighborhood House Loma Portal","2905 Cadiz St, San Diego, CA 92110, USA",32.744206,-117.211077
"Mi Pequena Casita Daycare","1008 S 26th St, San Diego, CA 92113, USA",32.69558,-117.138312
"Simone's Family Childcare","6608 Thornwood St, San Diego, CA 92111, USA",32.811362,-117.1724559
"Child Development Center","6205 College Grove Way, San Diego, CA 92115, USA",32.739151,-117.059965
"Camp Run-A-Mutt Kearny Mesa","7888 Othello Ave, San Diego, CA 92111, USA",32.8175417,-117.1538248
"Bright Horizons","9255 Towne Centre Dr # 150, San Diego, CA 92121, USA",32.8758655,-117.2068937
"Munchkin Palace ChildCare","5076 Surf Shoal Point, San Diego, CA 92154, USA",32.5735958,-117.0233023
"Katia's Family Child Care","974 Manor Way, San Diego, CA 92106, USA",32.722605,-117.244179
