"name","address","lat","lng"
"Chula Vista Community Park","1060 Eastlake Pkwy, Chula Vista, CA 91915, USA",32.6440785,-116.9676274
"Kid Ventures","851 Showroom Pl, Chula Vista, CA 91914, USA",32.6532292,-116.9539737
"Bayside Park","999 Bayside Pkwy, Chula Vista, CA 91910, USA",32.626976,-117.106682
"Los Ninos Park","1589 Max Ave, Chula Vista, CA 91911, USA",32.5992252,-117.0442848
"Hilltop Park","780 Hilltop Dr, Chula Vista, CA 91911, USA",32.6287737,-117.0628587
"Chula Vista","700 Buena Vista Way, Chula Vista, CA 91910, USA",32.6436941,-117.006746
"Chula Vista Marina View Park","900 Marina Pkwy, Chula Vista, CA 91910, USA",32.6210376,-117.0962519
"Valle Lindo Park","545 Sequoia St, Chula Vista, CA 91911, USA",32.6022926,-117.0310431
"Eucalyptus Park","436 C St, Chula Vista, CA 91910, USA",32.6500446,-117.0884902
"Explorer Park","S Rancho Del Rey Pkwy, Chula Vista, CA 91910, USA",32.6409264,-117.0243605
"Otay Park","1613 Albany Ave, Chula Vista, CA 91911, USA",32.5974293,-117.0569741
"Mountain Hawk Park","1475 Lake Crest Dr, Chula Vista, CA 91915, USA",32.6355741,-116.9342715
"Mount San Miguel Park","2335 Paseo Veracruz, Chula Vista, CA 91914, USA",32.6709665,-116.9737548
"Discovery Park","700 Buena Vista Way, Chula Vista, CA 91910, USA",32.6444683,-117.0071038
"Lauderbach Park","Chula Vista, CA 91911, USA",32.6085597,-117.068927
"Voyager Park","1228-1308 E J St, Chula Vista, CA 91910, USA",32.6301895,-117.0062121
"Rohr Park","4548 Sweetwater Rd, Bonita, CA 91902, USA",32.6662475,-117.0320223
"Otay Lakes County Park","2270 Wueste Rd, Chula Vista, CA 91915, USA",32.6077475,-116.9301188
"Cottonwood Park","1778 E Palomar St, Chula Vista, CA 91913, USA",32.6318069,-116.9825821
"Horizon Park","970 E Palomar St, Chula Vista, CA 91913, USA",32.6173874,-117.0134751
"Chula Vista Friendship Park","Chula Vista, CA 91910, USA",32.6417717,-117.0836373
"Sunbow Park","500 E Naples St, Chula Vista, CA 91911, USA",32.6211821,-117.0314109
"Sunset View Park","Chula Vista, CA 91915, USA",32.6331354,-116.9620621
"Play City","871 Showroom Pl Ste. 105, Chula Vista, CA 91914, USA",32.6518245,-116.9537742
"All Seasons Park","1825 Magdalena Ave, Chula Vista, CA 91913, USA",32.6130587,-116.9753082
"Greg Rogers Park","Chula Vista, CA 91911, USA",32.6190709,-117.0341697
"Tiffany Park","Chula Vista, CA 91913, USA",32.6465074,-116.9898411
"Harvest Park","1550 E Palomar St, Chula Vista, CA 91913, USA",32.6302067,-116.9909219
"Montevalle Recreation Center","840 Duncan Ranch Rd, Chula Vista, CA 91914, USA",32.6591274,-116.9521303
"Jump Around Now","1675 Brandywine Ave, Chula Vista, CA 91911, USA",32.5968198,-117.0281713
"Palomar Park","1359 Park Dr, Chula Vista, CA 91911, USA",32.6126329,-117.0404434
"Pump It Up","751 Design Ct Ste A, Chula Vista, CA 91911, USA",32.595753,-117.019837
"Memorial Park","373 Park Way, Chula Vista, CA 91910, USA",32.63877290000001,-117.0810631
"Sunridge Park","852 Gold Oak Ct, Chula Vista, CA 91910, USA",32.629478,-117.0231344
"Living Coast Discovery Center","1000 Gunpowder Point Dr, Chula Vista, CA 91910, USA",32.6401219,-117.1104216
"Sky Zone Trampoline Park","#100, 851 Showroom Pl Ste 100, Chula Vista, CA 91914, United States",32.652916,-116.954064
"Marisol Park","N Rancho Del Rey Pkwy, Chula Vista, CA 91910, USA",32.648503,-117.0277861
"Harborside Park","Chula Vista, CA 91911, USA",32.6062317,-117.0845168
"San Diego Metro KOA","111 N 2nd Ave, Chula Vista, CA 91910, USA",32.6566687,-117.0807169
