"name","address","lat","lng"
"Las Verdes Park","1390 Paseo De Las Verdes, Encinitas, CA 92024, USA",33.0552161,-117.2770384
"Cottonwood Creek Park","95 N Vulcan Ave, Encinitas, CA 92024, USA",33.0513707,-117.2892879
"Wiro Park","2232 El Camino Del Norte, Encinitas, CA 92024, USA",33.0507364,-117.2355474
"Leo Mullen Sports Park","951 Via Cantebria, Encinitas, CA 92024, USA",33.0621185,-117.263466
"Orpheus Park","482 Orpheus Ave, Encinitas, CA 92024, USA",33.057767,-117.295258
"Hawk View Park","1309 Blue Heron Ave, Encinitas, CA 92024, USA",33.080426,-117.2810625
"Encinitas Community Park","425 Santa Fe Dr, Encinitas, CA 92024, USA",33.0324759,-117.2807797
"Cardiff Sports Park","1661 Lake Dr, Encinitas, CA 92024, USA",33.026753,-117.264716
"Oakcrest County Park","1219 Encinitas Blvd, Encinitas, CA 92024, USA",33.0447231,-117.2650397
"Moonlight State Beach","400 B St, Encinitas, CA 92024, USA",33.0477549,-117.2979035
"Fletcher Cove Beach Park","111 S Sierra Ave, Solana Beach, CA 92075, USA",32.9911059,-117.2736739
"Leucadia Oaks Park","1511 N Vulcan Ave, Encinitas, CA 92024, USA",33.0742323,-117.3044103
