"name","address","lat","lng"
"Mercado Park","925 S D St, Perris, CA 92570, USA",33.7769908,-117.2281265
"Metz Park","251 W Metz Rd, Perris, CA 92570, USA",33.7937631,-117.2320988
"Monument Ranch Park","163 Monument Pkwy, Perris, CA 92570, USA",33.7396415,-117.2282944
"DropZone Waterpark","2165 Trumble Rd, Perris, CA 92570, USA",33.7635158,-117.1824871
"Rotary Park","1491 S A St, Perris, CA 92570, USA",33.7722844,-117.2339674
"Morgan Park","600 E Morgan St, Perris, CA 92571, USA",33.8382199,-117.2103559
"Foss Field Park","138 N Perris Blvd, Perris, CA 92570, USA",33.7876872,-117.2260408
"Paragon Park","264 Spectacular Bid St, Perris, CA 92571, USA",33.8225763,-117.2198019
"Copper Creek Park","217 Citrus Ave, Perris, CA 92501, USA",33.8066503,-117.2217112
"Monument Park","3020 Goetz Rd, Perris, CA 92570, USA",33.7475237,-117.2240253
"Foss Field Park","405-499 N Perris Blvd, Perris, CA 92571, USA",33.7890203,-117.2265508
