"name","address","lat","lng"
"Veterans Elementary School","1550 Magdalena Ave, Chula Vista, CA 91913, USA",32.6243799,-116.9773367
"Discovery Charter Elementary","1100 Camino Biscay, Chula Vista, CA 91910, USA",32.6418732,-117.0158692
"Salt Creek Elementary School","1055 Hunte Pkwy, Chula Vista, CA 91914, USA",32.6485736,-116.948978
"Arroyo Vista Charter School","2491 School House Rd, Chula Vista, CA 91915, USA",32.6384985,-116.9528854
"Chula Vista Hills Elementary School","980 Buena Vista Way, Chula Vista, CA 91910, USA",32.6367687,-117.003113
"Mueller Charter School","715 I St, Chula Vista, CA 91910, USA",32.6269185,-117.0932619
"Thurgood Marshall Elementary","2295 MacKenzie Creek Rd, Chula Vista, CA 91914, USA",32.6595977,-116.9664775
"Olympic View Elementary School","1220 S Greensview Dr, Chula Vista, CA 91915, USA",32.6377412,-116.964933
"Chula Vista Learning Community Charter elementary school","590 K St, Chula Vista, CA 91911, USA",32.6206498,-117.0833777
"Chula Vista High School","820 4th Ave, Chula Vista, CA 91911, USA",32.6214841,-117.0774683
"Heritage Elementary School","1450 Santa Lucia Rd, Chula Vista, CA 91913, USA",32.6264338,-116.9960845
"Chula Vista Middle School","415 5th Ave, Chula Vista, CA 91910, USA",32.6346655,-117.0855655
"Joseph Casillas Elementary School","1130 E J St, Chula Vista, CA 91910, USA",32.629375,-117.0110409
"Rancho Del Rey Middle School","1174 E J St, Chula Vista, CA 91910, USA",32.629523,-117.0082818
"Hilltop Drive Elementary School","30 Murray St, Chula Vista, CA 91910, USA",32.6320289,-117.0641743
"Halecrest Elementary School","475 E J St, Chula Vista, CA 91910, USA",32.6348801,-117.0442848
"Corky McMillin Elementary School","1201 Santa Cora Ave, Chula Vista, CA 91913, USA",32.6337103,-116.9840307
"Eastlake Elementary School","1955 Hillside Dr, Chula Vista, CA 91913, USA",32.6553125,-116.9839985
"Liberty Elementary School","2175 Proctor Valley Rd, Chula Vista, CA 91914, USA",32.6649163,-116.9774258
"Chula Vista Elementary School District","84 E J St, Chula Vista, CA 91910, USA",32.6316742,-117.0584038
"Rosebank Elementary School","80 Flower St, Chula Vista, CA 91910, USA",32.6497519,-117.0727161
"Parkview Elementary School","575 Juniper St, Chula Vista, CA 91911, USA",32.6136106,-117.0312198
"Lauderbach Elementary School","390 Palomar St, Chula Vista, CA 91911, USA",32.6061172,-117.0699384
"Burton C Tiffany Elementary School","1691 Elmhurst St, Chula Vista, CA 91913, USA",32.6455211,-116.9911146
"Harborside Elementary School","681 Naples St, Chula Vista, CA 91910, USA",32.6080385,-117.085483
"Valle Lindo Elementary School","1515 Oleander Ave, Chula Vista, CA 91911, USA",32.6045465,-117.03183
"Hedenkamp Elementary School","930 E Palomar St, Chula Vista, CA 91913, USA",32.6165399,-117.0149035
"Clear View Elementary School","455 Windrose Way, Chula Vista, CA 91910, USA",32.6454059,-117.0447923
"Hilltop High School","555 Claire Ave, Chula Vista, CA 91910, USA",32.6360769,-117.0590429
"Fred H Rohr Elementary School","1540 Malta Ave, Chula Vista, CA 91911, USA",32.6023362,-117.0415662
"Hazel Goes Cook Elementary School","875 Cuyamaca Ave, Chula Vista, CA 91911, USA",32.6260305,-117.055134
"Feaster Charter School","670 Flower St, Chula Vista, CA 91910, USA",32.6418889,-117.0973814
"Wolf Canyon Elementary School","1950 Wolf Canyon Loop, Chula Vista, CA 91913, USA",32.611751,-116.974545
"Bonita Vista Middle School","650 Otay Lakes Rd, Chula Vista, CA 91910, USA",32.6487765,-117.0054734
"Eastlake High School","1120 Eastlake Pkwy, Chula Vista, CA 91915, USA",32.6402859,-116.9675992
"Eastlake Middle School","900 Duncan Ranch Rd, Chula Vista, CA 91914, USA",32.6546493,-116.9479892
"Hilltop Middle School","44 E J St, Chula Vista, CA 91910, USA",32.6305872,-117.0608303
"Howard Gardner Community School","647 E St, Chula Vista, CA 91910, USA",32.6412553,-117.0952167
"Rogers Elementary School","510 E Naples St, Chula Vista, CA 91911, USA",32.6225902,-117.0356584
"Castle Park Middle School","160 Quintard St, Chula Vista, CA 91911, USA",32.605381,-117.0595786
"Lilian J. Rice Elementary School","915 4th Ave, Chula Vista, CA 91911, USA",32.6187033,-117.0752684
"Vista Square Elementary School","540 G St, Chula Vista, CA 91910, USA",32.6343694,-117.0872546
"Loma Verde Elementary School","1450 Loma Ln, Chula Vista, CA 91911, USA",32.6014025,-117.0489444
"Otay Elementary School","1651 Albany Ave, Chula Vista, CA 91911, USA",32.5963547,-117.0571482
"Allen (Ella B.) Elementary School","4300 Allen School Ln, Bonita, CA 91902, USA",32.6563725,-117.0335719
"Stephen W. Hawking Charter School","1355 2nd Ave, Chula Vista, CA 91911, USA",32.6059247,-117.0611839
"Kellogg Elementary School","229 E Naples St, Chula Vista, CA 91911, USA",32.6202804,-117.0477058
"High Tech Middle Chula Vista School","1949 Discovery Falls Dr, Chula Vista, CA 91915, USA",32.6164923,-116.953105
"MAAC Community Charter School","1385 Third Ave, Chula Vista, CA 91911, USA",32.6046592,-117.0642379
"Chula Vista Adult School","1034 4th Ave, Chula Vista, CA 91911, USA",32.6147687,-117.0750069
"Innovation High School San Diego – Chula Vista","310 Broadway, Chula Vista, CA 91910, USA",32.637215,-117.09218
"Palomar Elementary School","300 E Palomar St, Chula Vista, CA 91911, USA",32.61323240000001,-117.0435138
"Bonita Country Day School","625 Otay Lakes Rd, Chula Vista, CA 91913, USA",32.650188,-117.00555
"Saint Rose of Lima School","278 Alvarado St, Chula Vista, CA 91910, USA",32.6352285,-117.0771384
"Olympian High School","1925 Magdalena Ave, Chula Vista, CA 91913, USA",32.6079459,-116.9736268
"Options Secondary School","467 Moss St, Chula Vista, CA 91911, USA",32.6143233,-117.0758916
"Mater Dei Catholic High School","1615 Mater Dei Dr, Chula Vista, CA 91913, USA",32.6204588,-116.9763305
"Castle Park Elementary School","25 Emerson St, Chula Vista, CA 91911, USA",32.6147843,-117.0565108
"San Diego Virtual School","296 H St, Chula Vista, CA 91910, USA",32.6342325,-117.0767984
"Montessori American School","3604 Bonita Rd, Chula Vista, CA 91910, USA",32.651742,-117.047988
