"name","address","lat","lng"
"The Grauer School","1500 S El Camino Real, Encinitas, CA 92024, USA",33.0285769,-117.2562214
"Montessori School of Encinitas","141 El Camino Real # E, Encinitas, CA 92024, USA",33.04446010000001,-117.2579269
"Ocean Knoll Elementary School","910 Melba Rd, Encinitas, CA 92024, USA",33.040562,-117.2716531
"Flora Vista Elementary School","1690 Wandering Rd, Encinitas, CA 92024, USA",33.0561311,-117.2535575
"San Dieguito Academy","800 Santa Fe Dr, Encinitas, CA 92024, USA",33.0371436,-117.2749972
"Oak Crest Middle School","675 Balour Dr, Encinitas, CA 92024, USA",33.0427952,-117.2652903
"Encinitas Country Day School","3616 Manchester Ave, Encinitas, CA 92024, USA",33.02098,-117.252547
"The Rhoades School","141 S Rancho Santa Fe Rd, Encinitas, CA 92024, USA",33.0365446,-117.2373911
"Encinitas Union School District","101 S Rancho Santa Fe Rd, Encinitas, CA 92024, USA",33.037134,-117.237928
"Paul Ecke Central Elementary School","185 Union St, Encinitas, CA 92024, USA",33.0572712,-117.29737
"Capri Elementary School","941 Capri Rd, Encinitas, CA 92024, USA",33.0756139,-117.2885531
"Pacific Academy","679 Encinitas Blvd, Encinitas, CA 92024, USA",33.047997,-117.277693
"Rancho Encinitas Academy","910 Encinitas Blvd, Encinitas, CA 92024, USA",33.0471887,-117.2718368
"Sunset Graduation High School","684 Requeza St, Encinitas, CA 92024, USA",33.0439767,-117.2777545
"Saint John School","1003 Encinitas Blvd, Encinitas, CA 92024, USA",33.044849,-117.271391
"Diegueno Middle School","2150 Village Park Way, Encinitas, CA 92024, USA",33.0579342,-117.2420125
"Park Dale Lane Elementary","2050 Parkdale Ln, Encinitas, CA 92024, USA",33.0469365,-117.2424674
"Oasis Community School","216 La Mesa Ave, Encinitas, CA 92024, USA",33.053058,-117.298934
"Central Montessori School","286 N El Camino Real, Encinitas, CA 92024, USA",33.053729,-117.262918
"LePort Montessori Encinitas","520 Balour Dr, Encinitas, CA 92024, USA",33.044578,-117.2691138
"San Dieguito School District","710 Encinitas Blvd, Encinitas, CA 92024, USA",33.0491003,-117.2765222
"Olivenhain Pioneer Elementary School","8000 Calle Acervo, Carlsbad, CA 92009, USA",33.0618143,-117.2388923
"Encinitas Country Day School","2155 Encinitas Blvd, Encinitas, CA 92024, USA",33.0378704,-117.2409885
"El Camino Creek Elementary School","7885 Paseo Aliso, Carlsbad, CA 92009, USA",33.0758654,-117.2598958
"Julian Charter School","539 Encinitas Blvd, Encinitas, CA 92024, USA",33.0453412,-117.2799083
"Julian Charter School","777 Santa Fe Dr, Encinitas, CA 92024, USA",33.0361251,-117.2753125
"San Dieguito Union High School District","625 N Vulcan Ave, Encinitas, CA 92024, USA",33.0606093,-117.2999296
"Cardiff Elementary School","1888 Montgomery Ave, Cardiff, CA 92007, USA",33.02552730000001,-117.2837372
"Ada W. Harris Elementary School","1508 Windsor Rd, Cardiff, CA 92007, USA",33.0313857,-117.2740015
"Dehesa Charter School","367 La Veta Ave, Encinitas, CA 92024, USA",33.0555505,-117.2984727
"Mission Estancia Elementary School","3330 Calle Barcelona, Carlsbad, CA 92009, USA",33.0721777,-117.2404153
"Sanderling Waldorf School, Grades Campus","2585 Business Park Dr, Vista, CA 92081, USA",33.1483972,-117.2340448
"San Dieguito Adult School","710 Encinitas Blvd, Encinitas, CA 92024, USA",33.0490965,-117.276532
"Lighthouse Christian Preschool","510 S El Camino Real, Encinitas, CA 92024, USA",33.0370497,-117.2592918
"Encinitas School of Music","775 Orpheus Ave, Encinitas, CA 92024, USA",33.063258,-117.292902
"SwimLabs Swim School","519 Encinitas Blvd suite 100, Encinitas, CA 92024, USA",33.04636,-117.2807
"Leucadia Children's School Inc.","1337 N Vulcan Ave, Encinitas, CA 92024, USA",33.071449,-117.30355
"Santa Fe Christian Preschool","845 Santa Fe Dr, Encinitas, CA 92024, USA",33.0361347,-117.2741578
"School of Rock Encinitas","165 S El Camino Real, Encinitas, CA 92024, USA",33.043892,-117.2588976
"North County School of the Arts","535 Encinitas Blvd, Encinitas, CA 92024, USA",33.0462304,-117.279956
"Positive Place Montessori School","1221 Encinitas Blvd, Encinitas, CA 92024, USA",33.0460244,-117.2646297
"Bach to Rock Encinitas","282 N El Camino Real suite c, Encinitas, CA 92024, USA",33.052952,-117.263177
"Natural Healing Institute of Naturopathy, Inc.","2236 Encinitas Blvd e, Encinitas, CA 92024, USA",33.0383416,-117.2392073
"The Academy at Bright Horizons","2232 Encinitas Blvd, Encinitas, CA 92024, USA",33.037997,-117.239555
"Natural Success School-Hlstcs","843 4th St, Encinitas, CA 92024, USA",33.040942,-117.295796
"Eli Howard Surf School","2050 S Coast Hwy 101, Cardiff, CA 92007, USA",33.02108700000001,-117.284116
"Maui Surf Academy","1298 S Coast Hwy 101, Encinitas, CA 92024, USA",33.0349626,-117.2916578
"San Dieguito Union Alternative Education School","Encinitas, CA 92024, USA",33.0436532,-117.2789259
"Dance North County","535 Encinitas Blvd, Encinitas, CA 92024, USA",33.046044,-117.279763
"La Costa Canyon High School","1 Maverick Way, Carlsbad, CA 92009, USA",33.0732673,-117.2303476
"Bright Horizons at Encinitas","1430 Amargosa Dr, Encinitas, CA 92024, USA",33.0666396,-117.2547626
"Montessori Children's House","220 Calle De Madera, Encinitas, CA 92024, USA",33.0627775,-117.2988233
"St. James Academy","623 S Nardo Ave, Solana Beach, CA 92075, USA",32.98426,-117.263947
"La Costa Heights Elementary School","3035 Levante St, Carlsbad, CA 92009, USA",33.0801453,-117.2434527
"Intelligent Choice Educational Center","1377 N Vulcan Ave, Encinitas, CA 92024, USA",33.071912,-117.303585
"Devine Guitar School","Suite 110, 1224 N Coast Hwy, Encinitas, CA 92024, United States",33.069877,-117.30437
"Cardiff School","Cardiff, CA 92007, USA",33.024997,-117.28371
"Skyline Elementary School","606 Lomas Santa Fe Dr, Solana Beach, CA 92075, USA",32.9966735,-117.2618487
"Solana Vista Elementary School","780 Santa Victoria, Solana Beach, CA 92075, USA",33.0036444,-117.2503084
"Watts Atelier of the Arts Llc","171 Calle Magdalena # 103, Encinitas, CA 92024, USA",33.0456389,-117.2831572
