"name","address","lat","lng"
"Notre Dame Academy Elementary School","2911 Overland Ave, Los Angeles, CA 90064, USA",34.033526,-118.418947
"Los Angeles High School","4650 W Olympic Blvd, Los Angeles, CA 90019, USA",34.0554228,-118.3329959
"Loyola High School","1901 Venice Blvd, Los Angeles, CA 90006, USA",34.044917,-118.296672
"Marlborough School","250 S Rossmore Ave, Los Angeles, CA 90004, USA",34.0699098,-118.3268349
"Brentwood School, East Campus","100 S Barrington Pl, Los Angeles, CA 90049, USA",34.067168,-118.468795
"The Archer School for Girls","11725 Sunset Blvd, Los Angeles, CA 90049, USA",34.0650914,-118.471615
"New Los Angeles Charter Elementary School","1919 S Burnside Ave, Los Angeles, CA 90016, USA",34.0405831,-118.3580205
"Wildwood School","11811 Olympic Blvd, Los Angeles, CA 90064, USA",34.0338616,-118.4515361
"Milken Community Schools","15800 Zeldins Way, Los Angeles, CA 90049, USA",34.1257621,-118.4781846
"Pilgrim School","540 South Commonwealth Avenue, Los Angeles, CA 90020, USA",34.0641165,-118.2848656
"American University Preparatory School","345 S Figueroa St #100, Los Angeles, CA 90071, USA",34.054276,-118.255787
"Bishop Conaty- Our Lady of Loretto High School","2900 Pico Blvd, Los Angeles, CA 90006, USA",34.0466765,-118.3031833
"Downtown Magnets High School","1081 W Temple St, Los Angeles, CA 90012, USA",34.0630446,-118.250412
"Fusion Academy Los Angeles","1640 S Sepulveda Blvd #100, Los Angeles, CA 90025, USA",34.0489062,-118.4451176
"Academia Semillas Del Pueblo School","4970 Huntington Dr, Los Angeles, CA 90032, USA",34.0875738,-118.1743204
"Wildwood School","12201 Washington Pl, Los Angeles, CA 90066, USA",34.000672,-118.428849
"The Episcopal School of Los Angeles","6325 Santa Monica Blvd, Los Angeles, CA 90038, USA",34.0910272,-118.3276369
"Yeshiva University High School","9760 Pico Blvd, Los Angeles, CA 90035, USA",34.05388,-118.4012934
"Hollywood High School","1521 N Highland Ave, Los Angeles, CA 90028, USA",34.099165,-118.3400514
"Windward School","11350 Palms Blvd, Los Angeles, CA 90066, USA",34.0174798,-118.4261578
"Los Angeles International Charter High School","625 Coleman Ave, Los Angeles, CA 90042, USA",34.1028328,-118.1826621
"John Marshall High School","3939 Tracy St, Los Angeles, CA 90027, USA",34.1079309,-118.2774744
"Los Angeles High School of the Arts","701 S Catalina St A414, Los Angeles, CA 90005, USA",34.0598891,-118.2968022
"Marymount High School","10643 Sunset Blvd, Los Angeles, CA 90077, USA",34.0759611,-118.4452426
"International School of Los Angeles / Lycée International","4155 Russell Ave, Los Angeles, CA 90027, USA",34.1043464,-118.279565
"Ramón C. Cortines School of Visual and Performing Arts","450 N Grand Ave, Los Angeles, CA 90012, USA",34.059121,-118.243368
"Green Dot Public Schools","1149 S Hill St, Los Angeles, CA 90015, USA",34.0392113,-118.2612751
"The Los Angeles Film School","6353 Sunset Blvd, Los Angeles, CA 90028, USA",34.0983007,-118.3285297
"Sacred Heart High School","2111 Griffin Ave, Los Angeles, CA 90031, USA",34.069865,-118.21199
"Notre Dame Academy Los Angeles","2851 Overland Ave, Los Angeles, CA 90064, USA",34.0341619,-118.4193739
"Harvard-Westlake School","700 N Faring Rd, Los Angeles, CA 90077, USA",34.0887482,-118.4340011
"Los Angeles Unified School District","2114 Marengo St, Los Angeles, CA 90033, USA",34.055793,-118.2057266
"Ánimo Jackie Robinson Charter High School","3500 S Hill St, Los Angeles, CA 90007, USA",34.0174954,-118.2759071
"Ánimo Jefferson Charter Middle School","1655 E 27th St, Los Angeles, CA 90011, USA",34.012487,-118.243516
"Oscar De La Hoya Ánimo Charter High School","1114 S Lorena St, Los Angeles, CA 90023, USA",34.0234182,-118.2033486
