"name","address","lat","lng"
"Perris Oasis Youth Opportunity Center","11 S D St Suite 11-17, Perris, CA 92570, USA",33.7863657,-117.2277529
"AYSO Perris 544","600 E Morgan St, Perris, CA 92571, USA",33.8382098,-117.2101207
"Perris Valley Youth Association Sports","525 Murrieta Rd, Perris, CA 92571, USA",33.7934754,-117.2086538
"Small Wonder Family Child Care","20064 Fallen Leaf Dr, Perris, CA 92570, USA",33.8292395,-117.2582709
"JR SPORTS","130 W Walnut Ave A1, Perris, CA 92571, USA",33.8270273,-117.229098
"Perris Valley Panthers","525 Murrieta Rd, Perris, CA 92571, USA",33.7934754,-117.2086537
"Islamic Center of Perris","3895 N Perris Blvd, Perris, CA 92571, USA",33.842728,-117.22515
"Rotary Club of Perris","411 Wilkerson Ave, Perris, CA 92570, USA",33.7828633,-117.2178731
"San Bernardino Family YMCA","808 E 21st St, San Bernardino, CA 92404, USA",34.134395,-117.270102
"Murrieta Family YMCA","39573 Los Alamos Rd, Murrieta, CA 92563, USA",33.5753638,-117.1792902
"Victoria's Simply Dancing","22420 Cactus Ave, Moreno Valley, CA 92553, USA",33.9106655,-117.2716913
"JDI Dance Company","32150 Railroad Canyon Rd, Canyon Lake, CA 92587, USA",33.6709942,-117.2610291
"Barre Dance Center","7889 Mission Grove Pkwy S, Riverside, CA 92508, USA",33.9093848,-117.3272405
"Rancho El Palmar","22640 Mountain Ave, Perris, CA 92570, USA",33.766574,-117.264099
"Dancing Images Dance Center (DIDC)","24594 Sunnymead Boulevard # R, Moreno Valley, CA 92553, USA",33.940606,-117.233096
"Peace, Love & Dance","32235 Mission Trail, Lake Elsinore, CA 92530, USA",33.656141,-117.2989493
"Boyd Dance","25336 Mammoth Lakes Cir, Menifee, CA 92584, USA",33.698315,-117.21789
"Diana's Dance Co","29683 New Hub Dr # H, Sun City, CA 92586, USA",33.6895303,-117.1772445
"Menifee Blaze Cheer and Dance","29660 Lamprey St, Sun City, CA 92586, USA",33.690064,-117.193835
"In His Presence Dance Academy, Inc.","23932 Alessandro Blvd, Moreno Valley, CA 92553, USA",33.918268,-117.2451521
"On Pointe TOO Dance Studio","9158, 19348 Van Buren Boulevard #113, Riverside, CA 92508, United States",33.8897378,-117.3256166
"FaBoom Dance Studio","31760 Casino Dr #104, Lake Elsinore, CA 92530, USA",33.6580885,-117.2957628
"Sweat Shop","31590 Railroad Canyon Rd, Canyon Lake, CA 92587, USA",33.67131,-117.253184
"Peace, Love & Dance","31796 Casino Dr, Lake Elsinore, CA 92530, USA",33.656719,-117.294445
"Barre Dance Center","7889 Mission Grove Pkwy S a, Riverside, CA 92508, USA",33.909374,-117.327258
"Bob Glass Gym","101 N D St, Perris, CA 92570, USA",33.7870871,-117.2273933
"Perris City Hall","101 N D St, Perris, CA 92570, USA",33.7875627,-117.2275992
"Riverside Dance Academy and Performing Arts","1355 E Alessandro Blvd #206-208, Riverside, CA 92508, USA",33.9160343,-117.3083236
"Studio 9 | Dance Studio","185 E Ramona Expy Suite 4, Perris, CA 92571, United States",33.84401,-117.222067
"Tutu Barre","16090 Perris Blvd, Moreno Valley, CA 92551, USA",33.8871372,-117.224486
"The Music People","5110 Western Way, Perris, CA 92571, USA",33.8645361,-117.2569444
"Ms Right Music","20830 Hunter St, Perris, CA 92570, USA",33.835102,-117.299228
"Southern California Fair","18700 Lake Perris Dr, Perris, CA 92571, USA",33.8484119,-117.2025985
"Pete's Music & Guitar Shop","29800 Bradley Rd, Menifee, CA 92586, USA",33.688174,-117.187986
"Family Music Room","22445 Alessandro Blvd # 124, Moreno Valley, CA 92553, USA",33.916157,-117.2712398
